Pressure,Flow Rate,Temperature,Consumption Level,Material Type,Age,Maintenance History,Leak
32.24,17.4,9.45,413.2,Cast Iron,6,Good,0
31.2,90.17,13.58,408.67,PVC,11,Poor,1
57.11,95.25,14.24,978.52,Steel,10,Average,1
41.52,67.29,5.18,840.88,Copper,22,Poor,1
31.99,57.88,25.17,499.6,Cast Iron,15,Average,1
34.98,24.84,21.39,717.22,Copper,38,Poor,1
13.64,27.21,28.78,935.56,PVC,48,Poor,1
32.73,81.09,8.1,433.13,Copper,30,Poor,1
47.8,38.91,23.69,468.89,HDPE,21,Average,0
13.72,87.09,31.05,953.04,HDPE,43,Poor,1
54.46,7.79,33.03,308.09,PVC,1,Average,0
47.88,73.45,13.58,235.04,Cast Iron,10,Poor,1
70.82,24.74,30.38,237.21,Cast Iron,28,Average,0
49.22,47.28,19.47,424.57,HDPE,13,Good,0
74.02,26.97,8.62,188.78,PVC,1,Good,0
10.64,94.61,31.86,243.59,HDPE,11,Poor,1
54.18,47.44,23.06,347.0,Cast Iron,17,Good,0
41.71,99.87,8.63,322.44,HDPE,10,Poor,1
34.64,80.97,13.26,676.8,HDPE,14,Poor,1
51.9,94.59,12.46,909.11,HDPE,49,Average,1
64.03,33.66,34.07,278.53,Copper,4,Average,0
12.02,86.46,12.09,551.58,Copper,50,Average,1
19.27,38.48,23.29,417.04,Steel,22,Average,1
50.67,18.45,8.83,269.68,Steel,29,Good,0
47.13,73.3,19.74,283.0,HDPE,46,Average,1
51.45,55.98,18.84,749.1,Steel,17,Poor,1
65.44,48.6,26.75,340.55,Cast Iron,17,Good,0
44.63,37.23,11.74,238.41,PVC,5,Good,0
79.61,30.12,5.25,309.85,Cast Iron,5,Good,0
74.02,13.27,32.49,460.12,Cast Iron,22,Average,0
32.15,45.09,11.88,96.08,Cast Iron,18,Good,0
36.99,18.68,26.38,160.04,Cast Iron,19,Average,0
68.81,32.12,17.1,472.28,HDPE,16,Good,0
14.94,26.91,8.41,470.76,Copper,36,Poor,1
19.36,58.89,13.89,855.28,Cast Iron,13,Poor,1
15.82,33.07,18.6,946.48,HDPE,13,Poor,1
57.93,24.79,22.45,950.53,Cast Iron,33,Average,1
59.39,25.48,5.71,893.88,Steel,32,Average,1
38.74,83.79,28.73,704.95,Cast Iron,44,Average,1
41.87,26.16,33.31,362.34,Cast Iron,25,Good,0
18.18,68.49,33.28,573.81,HDPE,12,Average,1
38.4,22.29,6.81,178.9,Copper,3,Average,0
72.71,20.38,15.77,338.18,Cast Iron,18,Good,0
60.68,43.66,16.97,359.76,Steel,6,Average,0
11.88,23.59,11.41,387.34,Steel,27,Poor,1
10.12,77.94,16.2,240.33,Steel,47,Poor,1
37.71,53.84,8.58,340.47,Copper,32,Poor,1
59.73,9.44,10.52,194.36,PVC,4,Good,0
51.63,40.38,25.1,310.27,Steel,11,Average,0
79.98,6.99,12.44,435.63,HDPE,11,Good,0
48.57,28.66,30.96,499.57,PVC,24,Good,0
11.8,80.43,24.48,321.38,Cast Iron,49,Average,1
23.41,97.69,24.34,549.69,Copper,30,Poor,1
33.78,80.16,6.82,247.64,Cast Iron,36,Poor,1
31.65,38.48,18.31,322.88,Steel,4,Good,0
42.21,34.05,24.51,467.2,Copper,16,Average,0
46.11,49.77,20.59,171.96,PVC,5,Good,0
37.87,29.28,26.81,423.85,HDPE,21,Average,0
59.24,19.72,8.58,488.72,Copper,9,Good,0
26.33,24.75,23.26,576.61,HDPE,42,Average,1
69.65,7.11,9.78,468.31,Copper,16,Average,0
44.82,23.23,15.86,112.12,Cast Iron,27,Good,0
44.35,28.18,30.48,346.68,Cast Iron,24,Good,0
60.73,27.07,32.23,178.85,Cast Iron,25,Average,0
17.34,30.16,32.74,382.59,Copper,23,Poor,1
31.67,22.95,32.68,496.61,Steel,4,Good,0
51.77,22.09,12.75,350.24,Copper,22,Average,0
64.69,32.51,15.53,294.01,Cast Iron,15,Average,0
21.28,81.49,27.28,986.89,Cast Iron,14,Average,1
33.87,35.63,14.42,319.22,Copper,16,Good,0
39.14,33.5,10.29,344.82,Cast Iron,14,Good,0
52.8,23.33,28.41,842.96,PVC,15,Average,1
34.15,23.92,21.64,199.63,Steel,3,Average,0
71.88,41.43,34.34,415.08,Steel,4,Good,0
38.79,33.14,20.17,461.09,PVC,27,Good,0
59.75,24.14,8.99,267.08,Cast Iron,9,Average,0
47.6,5.86,13.0,490.8,Steel,20,Good,0
35.32,31.26,31.59,335.9,HDPE,7,Average,0
13.99,93.04,8.79,681.14,PVC,19,Average,1
61.6,46.61,16.99,157.33,PVC,13,Good,0
62.84,47.33,21.18,415.15,Steel,3,Average,0
43.63,34.71,8.13,659.27,Cast Iron,27,Poor,1
67.59,22.85,31.68,50.01,Copper,8,Good,0
10.25,62.74,20.22,616.4,PVC,33,Average,1
35.24,58.61,25.09,255.72,Cast Iron,21,Poor,1
55.97,88.57,9.65,465.66,Copper,48,Average,1
47.88,73.03,21.34,218.8,Copper,38,Average,1
52.89,79.66,34.61,485.27,PVC,45,Average,1
60.98,29.94,26.35,429.15,Steel,12,Average,0
55.29,33.13,19.9,320.11,Copper,24,Average,0
12.23,43.49,21.63,788.15,Cast Iron,41,Average,1
20.88,56.08,14.71,265.4,HDPE,25,Poor,1
20.74,77.72,11.49,782.08,Steel,26,Poor,1
42.82,27.09,11.47,437.68,HDPE,44,Average,1
54.81,36.49,23.03,334.9,PVC,23,Good,0
73.77,35.04,30.98,167.36,Cast Iron,15,Good,0
40.86,30.45,30.22,536.7,Steel,32,Average,1
16.59,68.16,33.57,924.66,Steel,22,Average,1
23.9,29.48,33.6,812.19,PVC,14,Poor,1
18.08,31.65,29.47,639.88,Copper,28,Poor,1
34.52,32.4,25.49,353.77,PVC,16,Poor,1
32.77,64.66,7.58,377.03,Copper,10,Average,1
41.54,96.6,24.46,739.19,Steel,31,Average,1
34.35,45.28,19.5,821.91,Copper,20,Average,1
29.07,49.66,23.79,317.13,HDPE,44,Average,1
42.81,27.78,25.98,569.27,Steel,22,Average,1
33.47,49.15,10.87,220.12,Steel,18,Good,0
13.06,46.39,20.09,390.72,Steel,44,Poor,1
46.64,60.48,28.67,600.68,Copper,28,Average,1
53.27,81.44,32.32,498.89,Copper,25,Poor,1
51.95,22.4,31.09,418.01,HDPE,7,Average,0
41.02,10.14,23.27,195.63,Cast Iron,29,Good,0
25.13,60.67,29.89,536.21,PVC,19,Poor,1
58.17,59.93,27.98,443.04,Steel,15,Average,1
31.61,31.32,10.86,490.68,Cast Iron,14,Average,1
67.95,29.86,29.59,429.71,HDPE,4,Average,0
75.7,17.61,19.94,332.88,Copper,12,Average,0
57.9,68.98,33.47,692.85,Copper,33,Poor,1
34.22,6.04,18.38,77.51,Cast Iron,9,Good,0
76.86,40.47,12.96,206.58,Steel,30,Average,0
41.59,15.16,15.74,383.49,Copper,30,Average,0
16.09,76.53,23.48,719.83,HDPE,13,Average,1
34.46,27.02,33.26,495.82,Copper,10,Good,0
65.11,5.52,12.52,482.06,Steel,7,Average,0
35.45,20.12,14.08,295.2,HDPE,44,Poor,1
44.19,12.67,5.86,74.19,PVC,12,Average,0
26.73,87.46,7.93,942.59,Copper,11,Poor,1
40.33,41.61,24.43,382.88,Steel,18,Good,0
37.1,61.47,28.84,400.2,Cast Iron,27,Poor,1
20.94,20.63,28.4,428.55,HDPE,38,Poor,1
78.36,20.84,8.83,422.18,Copper,26,Average,0
34.78,58.63,18.44,920.76,Steel,27,Poor,1
35.63,28.36,34.65,932.74,PVC,15,Poor,1
55.46,92.44,32.49,769.19,Steel,28,Poor,1
39.81,9.41,17.19,112.78,Steel,3,Average,0
47.52,14.21,12.22,472.44,PVC,26,Good,0
59.57,93.63,22.41,457.63,Copper,26,Average,1
38.0,54.84,6.8,957.91,Cast Iron,36,Poor,1
35.99,15.01,14.72,244.05,HDPE,22,Good,0
31.14,27.76,8.43,259.43,Cast Iron,19,Good,0
21.05,99.81,8.83,628.15,HDPE,32,Average,1
48.2,97.78,33.87,755.02,PVC,26,Average,1
59.02,97.82,15.95,650.76,Copper,37,Average,1
11.46,69.71,26.6,725.09,Steel,49,Poor,1
61.97,46.36,30.43,280.15,Copper,19,Good,0
54.08,17.7,9.7,271.66,Steel,17,Average,0
69.65,33.74,11.68,403.58,Cast Iron,7,Good,0
52.42,23.85,10.15,954.01,HDPE,39,Poor,1
39.42,36.73,32.89,796.88,Copper,26,Poor,1
26.81,54.1,11.63,476.31,PVC,44,Average,1
49.3,21.76,22.63,217.17,Copper,10,Good,0
36.47,41.04,9.08,469.64,HDPE,12,Average,0
57.42,16.95,22.36,242.86,Steel,28,Good,0
33.94,56.88,10.63,298.54,Copper,29,Average,1
34.73,99.13,21.8,861.19,Cast Iron,29,Average,1
14.39,93.82,20.5,826.33,Cast Iron,28,Average,1
11.79,67.64,31.26,526.4,HDPE,47,Average,1
59.34,34.15,20.44,179.78,HDPE,22,Good,0
42.0,69.27,21.28,247.35,HDPE,13,Average,1
13.62,99.65,5.83,729.85,Copper,10,Average,1
21.94,70.33,6.74,359.79,Steel,16,Average,1
59.26,21.27,27.55,193.55,PVC,9,Good,0
57.32,36.07,17.04,422.3,PVC,22,Average,0
12.81,55.12,7.77,647.1,HDPE,25,Average,1
33.14,40.04,15.22,566.99,Steel,18,Average,1
63.63,30.29,33.48,463.15,Cast Iron,1,Good,0
38.85,31.85,5.95,676.89,Steel,21,Poor,1
68.43,48.58,29.34,241.11,Copper,16,Good,0
37.31,84.14,17.42,728.61,Cast Iron,14,Average,1
40.24,31.21,33.49,440.61,HDPE,14,Average,0
48.44,26.56,26.98,276.31,Copper,50,Poor,1
76.1,43.37,28.77,110.61,Copper,4,Average,0
44.96,60.1,33.63,697.83,PVC,29,Average,1
59.65,19.78,28.49,212.48,PVC,13,Good,0
54.97,73.06,6.81,922.61,Steel,25,Poor,1
76.68,38.59,27.3,256.72,Steel,21,Good,0
46.79,17.8,28.29,449.48,Cast Iron,3,Good,0
32.04,44.68,33.94,375.12,PVC,3,Good,0
22.38,66.87,21.58,396.28,Cast Iron,25,Average,1
22.01,99.65,12.52,738.01,Cast Iron,37,Poor,1
31.3,24.86,12.99,434.35,HDPE,12,Good,0
42.24,61.78,32.63,908.63,Steel,12,Average,1
47.92,35.69,20.07,271.48,Copper,50,Average,1
46.4,66.94,10.3,980.98,Copper,46,Average,1
48.49,44.82,7.07,70.55,HDPE,17,Good,0
62.04,6.22,8.18,482.64,PVC,26,Good,0
78.96,36.64,32.09,339.25,PVC,7,Average,0
23.22,35.19,28.26,629.75,Copper,32,Poor,1
59.32,6.52,34.16,381.01,Steel,20,Good,0
30.15,62.39,27.8,718.38,PVC,16,Average,1
45.62,27.37,29.15,196.59,Steel,24,Average,0
24.34,48.64,7.76,400.15,PVC,21,Poor,1
40.43,75.83,18.44,637.53,Cast Iron,16,Average,1
38.46,33.65,9.01,224.2,Copper,19,Good,0
46.4,41.47,15.68,654.92,Cast Iron,37,Average,1
35.96,70.32,12.01,387.12,PVC,34,Poor,1
34.22,21.31,17.5,106.89,Steel,15,Average,0
40.14,11.66,33.06,106.44,Cast Iron,30,Good,0
18.68,43.88,14.08,377.99,Copper,47,Average,1
45.57,47.18,29.76,403.15,Cast Iron,31,Poor,1
49.1,14.75,9.88,100.43,Steel,21,Good,0
60.11,9.62,22.0,339.89,PVC,28,Average,0
79.48,7.1,26.65,57.06,HDPE,10,Average,0
30.54,8.02,33.2,380.04,Steel,3,Good,0
70.59,6.48,7.91,416.57,Cast Iron,7,Average,0
39.42,64.61,32.83,386.0,Copper,41,Poor,1
10.88,51.07,8.16,519.66,PVC,27,Poor,1
29.84,46.5,16.71,596.42,Copper,26,Poor,1
39.27,26.12,29.74,447.24,Steel,4,Good,0
68.15,42.29,17.75,376.24,Steel,18,Good,0
39.81,12.93,34.36,168.41,Steel,13,Good,0
72.9,18.54,20.83,319.78,Cast Iron,22,Average,0
38.98,60.73,33.21,705.58,Cast Iron,11,Poor,1
33.91,44.55,29.37,50.34,Steel,26,Average,0
49.17,6.54,14.16,407.36,Cast Iron,7,Average,0
31.28,13.66,8.19,471.79,HDPE,7,Average,0
39.81,32.49,32.4,161.88,Copper,22,Average,0
78.88,27.82,23.66,438.55,Copper,1,Average,0
30.62,43.3,32.53,140.85,Copper,12,Good,0
12.5,21.22,24.62,901.34,PVC,35,Poor,1
71.98,10.84,28.47,353.08,Cast Iron,10,Average,0
70.62,7.11,31.95,180.64,Copper,18,Good,0
37.82,7.94,14.64,421.53,PVC,25,Good,0
44.71,56.9,7.05,961.0,HDPE,14,Average,1
20.21,78.11,11.34,923.88,PVC,16,Poor,1
76.73,10.98,13.43,154.91,HDPE,21,Good,0
31.99,33.54,9.91,418.06,Steel,28,Average,0
58.1,30.68,30.99,165.9,HDPE,2,Good,0
47.21,35.1,13.18,321.58,Copper,38,Poor,1
39.65,24.6,20.3,289.38,Copper,8,Good,0
42.98,43.77,12.68,456.65,HDPE,24,Good,0
54.58,37.24,17.96,652.81,Steel,19,Average,1
42.67,35.81,5.57,360.63,Copper,18,Good,0
34.62,51.86,12.99,455.75,HDPE,10,Poor,1
24.53,71.54,17.3,869.28,PVC,13,Poor,1
78.92,47.37,28.72,286.68,HDPE,24,Average,0
34.14,63.43,14.56,605.08,Steel,13,Poor,1
24.69,80.84,26.03,827.17,PVC,39,Poor,1
47.64,15.95,12.78,220.94,Copper,23,Good,0
55.76,19.13,28.74,451.48,Copper,17,Average,0
63.06,6.62,25.34,237.64,Cast Iron,25,Average,0
29.62,60.4,14.86,432.6,Cast Iron,30,Average,1
43.27,10.91,24.92,448.77,HDPE,19,Good,0
18.53,95.74,21.97,747.85,Copper,22,Average,1
34.12,49.98,21.81,99.61,Copper,17,Average,0
79.03,36.89,11.28,369.27,HDPE,23,Good,0
62.97,9.67,16.78,375.4,Copper,14,Average,0
16.3,37.67,19.37,906.45,Steel,28,Poor,1
60.55,48.87,28.17,97.39,Cast Iron,19,Average,0
39.46,39.73,33.87,469.04,Steel,19,Average,0
40.78,37.49,6.33,948.85,PVC,43,Average,1
66.27,7.17,6.44,311.45,Copper,19,Good,0
39.41,46.98,31.64,392.69,Steel,15,Good,0
43.9,21.21,15.54,82.69,Steel,3,Average,0
24.29,70.89,10.26,252.93,Copper,28,Poor,1
65.51,7.6,9.0,314.1,HDPE,22,Good,0
71.23,27.42,13.24,265.2,Cast Iron,2,Good,0
31.1,17.98,21.6,377.07,Steel,22,Good,0
35.12,51.52,7.71,586.25,Cast Iron,50,Poor,1
44.42,13.29,19.72,188.64,PVC,2,Average,0
44.69,57.32,6.18,880.16,Cast Iron,23,Average,1
52.5,37.66,13.49,211.36,Steel,15,Average,1
58.88,62.36,11.81,479.42,Cast Iron,19,Poor,1
10.6,30.99,16.74,831.26,HDPE,25,Average,1
76.26,49.73,10.86,335.63,Cast Iron,26,Average,0
48.76,33.87,34.15,134.2,HDPE,26,Average,0
16.6,74.73,28.05,847.14,HDPE,12,Average,1
54.6,66.33,18.3,250.29,HDPE,50,Poor,1
37.24,45.3,26.45,281.76,HDPE,7,Average,0
11.0,22.03,22.37,433.27,Cast Iron,20,Average,1
54.86,46.93,14.47,245.62,Steel,21,Good,0
56.99,29.09,5.23,122.79,Steel,6,Average,0
49.57,36.68,29.15,142.36,PVC,17,Good,0
42.14,23.99,26.54,275.13,Copper,19,Poor,1
57.62,62.63,12.45,631.42,Steel,43,Poor,1
41.18,74.99,14.39,670.24,HDPE,11,Poor,1
40.86,22.62,22.2,361.81,PVC,15,Poor,1
15.88,69.89,33.88,849.17,HDPE,15,Average,1
32.26,14.87,22.53,230.94,Steel,12,Average,0
47.58,83.23,15.88,502.52,Copper,28,Poor,1
50.75,27.9,30.96,309.97,Cast Iron,1,Average,0
38.92,33.22,11.33,237.57,Steel,12,Average,0
41.51,14.66,28.87,331.61,Steel,16,Good,0
63.13,31.01,14.62,191.56,PVC,19,Average,0
50.0,86.84,12.33,959.53,Copper,34,Poor,1
22.54,86.11,20.61,751.9,Copper,17,Average,1
25.76,88.37,27.61,556.08,Steel,27,Average,1
74.84,19.53,22.26,171.87,Copper,18,Good,0
21.48,47.1,34.41,757.74,Copper,12,Average,1
40.99,48.63,32.67,128.15,Steel,16,Good,0
41.76,18.46,7.78,278.56,HDPE,11,Average,0
72.1,36.55,13.4,490.02,HDPE,21,Good,0
35.2,5.89,10.28,317.25,PVC,20,Good,0
75.77,15.52,23.17,283.11,PVC,27,Good,0
46.57,89.84,14.25,622.78,Copper,45,Average,1
49.41,7.62,23.68,482.96,PVC,17,Good,0
27.68,69.63,33.11,909.02,Copper,24,Poor,1
30.8,41.44,20.74,426.89,Copper,40,Average,1
59.01,25.54,17.43,155.22,Steel,2,Average,0
49.6,42.51,7.76,426.77,Copper,25,Average,0
32.88,32.06,11.6,380.77,Cast Iron,25,Average,1
16.16,78.37,23.89,337.94,Cast Iron,45,Poor,1
10.83,23.84,13.9,337.46,Copper,19,Average,1
45.96,59.72,26.2,927.55,PVC,42,Poor,1
73.03,44.92,26.29,407.98,Cast Iron,30,Good,0
65.96,7.39,29.0,68.83,Cast Iron,3,Average,0
23.66,85.05,25.4,610.36,Steel,23,Poor,1
40.72,66.09,13.83,581.67,Steel,48,Average,1
71.95,31.68,6.36,123.16,Copper,1,Good,0
75.37,38.26,13.36,295.22,HDPE,14,Good,0
48.3,27.36,33.08,936.7,Steel,40,Poor,1
38.83,42.11,5.0,385.5,HDPE,18,Good,0
57.69,52.44,7.53,663.72,Steel,18,Poor,1
73.56,21.8,34.33,95.33,PVC,1,Average,0
45.84,44.64,14.72,54.21,HDPE,8,Good,0
49.61,32.02,24.52,273.04,Steel,27,Average,0
42.36,13.35,7.09,171.45,Copper,10,Good,0
59.45,43.26,27.4,471.29,PVC,1,Good,0
55.94,65.14,19.22,470.35,Steel,45,Poor,1
45.77,42.21,29.76,281.3,PVC,5,Good,0
55.23,26.07,15.89,132.7,Copper,3,Good,0
51.3,49.11,23.0,896.89,Copper,22,Poor,1
72.31,40.03,14.91,147.21,PVC,6,Good,0
52.52,22.55,19.87,472.22,Cast Iron,5,Good,0
31.92,9.28,22.82,108.88,HDPE,3,Average,0
14.2,24.76,14.62,967.39,HDPE,16,Poor,1
16.1,74.46,30.21,286.16,Steel,20,Average,1
10.78,71.75,25.48,522.9,Copper,49,Poor,1
56.87,6.98,14.55,145.19,HDPE,6,Good,0
68.66,24.21,12.13,159.09,HDPE,27,Average,0
72.28,48.82,21.82,479.35,PVC,30,Good,0
19.31,57.99,29.88,527.68,PVC,31,Poor,1
36.09,93.89,29.76,650.3,Copper,29,Poor,1
77.33,16.99,10.04,326.67,HDPE,28,Good,0
79.54,27.81,29.59,159.25,PVC,5,Average,0
42.79,20.17,30.28,829.15,Steel,16,Poor,1
37.06,28.67,11.6,838.11,PVC,16,Average,1
36.26,70.9,16.93,687.31,HDPE,39,Poor,1
22.46,76.44,28.53,551.66,Cast Iron,46,Average,1
40.8,23.64,29.64,244.44,Copper,1,Good,0
72.56,21.83,7.86,69.18,Cast Iron,30,Good,0
46.93,42.36,34.1,245.24,PVC,1,Good,0
30.03,54.57,14.08,454.18,Copper,31,Average,1
39.56,16.97,10.7,83.94,Cast Iron,23,Good,0
48.65,37.36,25.34,369.41,Copper,3,Average,0
34.95,29.13,32.59,184.36,HDPE,23,Average,0
35.38,21.01,20.0,468.29,HDPE,30,Average,0
33.13,24.35,15.8,552.93,Steel,39,Poor,1
43.1,55.4,26.46,667.39,HDPE,47,Average,1
62.47,43.22,27.11,290.04,PVC,4,Average,0
77.42,38.22,12.36,63.48,Steel,17,Average,0
13.72,92.42,5.69,871.51,HDPE,36,Average,1
45.31,16.36,31.29,100.27,Steel,18,Good,0
73.98,48.99,24.02,120.27,Copper,30,Average,0
54.21,78.7,16.39,883.88,HDPE,33,Poor,1
27.59,24.76,11.87,599.33,Steel,37,Poor,1
79.46,27.93,6.13,73.1,Cast Iron,14,Average,0
40.39,42.91,26.02,586.07,Cast Iron,34,Average,1
42.4,44.6,26.4,482.39,Copper,20,Average,0
25.54,35.11,31.47,267.25,PVC,19,Average,1
41.45,39.97,13.53,899.6,Steel,23,Poor,1
51.39,20.14,21.4,131.1,HDPE,30,Average,0
50.76,19.96,18.77,87.09,HDPE,23,Average,0
51.04,39.12,11.64,460.44,Copper,24,Average,0
63.72,31.25,25.09,175.27,Steel,6,Average,0
33.29,35.0,34.95,230.36,Cast Iron,42,Poor,1
59.18,13.39,30.47,251.56,Copper,9,Average,0
15.34,45.6,5.83,317.49,PVC,46,Average,1
32.49,99.93,7.35,488.21,Copper,36,Average,1
53.44,34.0,18.89,107.98,PVC,5,Good,0
60.35,23.38,6.55,458.72,HDPE,5,Good,0
56.92,87.93,13.7,513.9,PVC,41,Average,1
49.99,20.17,23.36,385.64,HDPE,3,Good,0
39.9,31.68,7.96,587.83,Steel,30,Average,1
58.67,39.91,10.01,398.21,Cast Iron,19,Average,1
36.48,98.14,7.22,642.98,Copper,29,Poor,1
50.25,93.99,23.02,924.08,PVC,21,Poor,1
14.17,70.31,18.04,368.11,Cast Iron,46,Average,1
56.54,41.08,30.11,372.71,Steel,19,Average,0
62.7,44.57,20.62,178.96,Cast Iron,3,Average,0
57.24,18.1,22.06,413.66,Cast Iron,17,Good,0
19.47,78.29,32.13,622.66,Copper,31,Average,1
50.96,9.13,27.45,189.85,PVC,27,Good,0
34.89,11.08,14.25,277.75,Copper,16,Average,0
13.79,84.98,32.86,995.35,Cast Iron,24,Average,1
37.96,22.71,11.11,489.4,Copper,24,Good,0
34.27,16.47,30.61,202.43,HDPE,30,Average,0
41.42,81.73,16.26,233.95,PVC,29,Average,1
75.3,26.1,12.91,390.22,Cast Iron,9,Average,0
43.34,29.48,13.67,214.93,HDPE,31,Average,1
30.01,49.06,17.99,381.61,Copper,9,Average,0
40.18,97.08,27.9,316.11,Steel,13,Poor,1
34.97,12.94,17.01,133.12,Cast Iron,11,Good,0
32.88,43.56,13.02,882.72,Cast Iron,22,Average,1
35.0,25.14,9.52,471.74,HDPE,17,Good,0
32.9,27.58,18.83,607.9,Cast Iron,45,Average,1
39.78,59.47,20.2,551.43,Steel,14,Poor,1
47.92,29.43,15.69,356.12,Steel,1,Average,0
40.97,75.44,25.21,972.52,PVC,49,Poor,1
67.74,39.04,26.85,235.89,PVC,9,Good,0
32.49,9.22,22.19,149.0,HDPE,8,Average,0
55.0,47.88,9.1,168.43,Cast Iron,30,Average,0
72.88,10.61,6.3,347.05,PVC,5,Average,0
29.42,28.46,17.89,244.52,Steel,25,Poor,1
44.67,24.73,29.37,448.96,Copper,16,Good,0
41.29,39.97,31.09,323.9,Steel,28,Good,0
38.92,30.08,17.65,898.28,PVC,12,Poor,1
46.1,81.35,13.8,230.06,Copper,50,Poor,1
10.91,81.53,31.27,346.81,Cast Iron,28,Poor,1
67.93,18.87,11.77,156.29,PVC,19,Average,0
26.33,33.5,15.19,794.72,Steel,33,Poor,1
33.53,30.75,18.74,350.69,Cast Iron,25,Average,0
71.23,23.93,33.25,170.29,Cast Iron,5,Good,0
12.04,28.38,12.21,748.63,Cast Iron,20,Poor,1
34.98,21.98,32.74,588.42,HDPE,36,Average,1
32.89,41.1,9.99,104.89,Steel,19,Average,0
37.9,35.95,21.9,435.68,Copper,15,Average,0
47.56,6.06,26.85,215.37,Copper,14,Good,0
32.25,22.7,15.4,96.54,HDPE,13,Average,0
10.74,63.63,9.11,834.82,PVC,48,Average,1
11.29,53.65,20.47,420.41,Copper,34,Average,1
18.62,56.92,30.93,856.85,Cast Iron,37,Average,1
59.51,99.65,15.3,802.69,PVC,41,Poor,1
27.69,92.34,30.6,412.41,HDPE,40,Poor,1
43.48,76.08,9.09,898.42,Steel,33,Poor,1
24.59,58.39,28.84,767.28,PVC,44,Poor,1
51.21,81.45,32.03,293.13,PVC,29,Average,1
15.61,47.35,11.53,447.48,Copper,23,Average,1
63.98,31.99,31.93,313.27,Cast Iron,27,Average,0
52.67,51.01,19.39,705.52,HDPE,21,Poor,1
50.05,65.67,22.24,478.71,PVC,24,Average,1
40.3,60.67,18.85,934.1,HDPE,39,Poor,1
11.43,62.08,19.63,533.56,Steel,41,Poor,1
65.31,43.99,17.89,382.57,Steel,12,Average,0
41.77,39.26,20.61,246.1,Steel,24,Good,0
40.71,41.21,21.41,373.44,HDPE,29,Good,0
54.93,57.07,28.6,245.55,Copper,48,Average,1
43.76,31.12,30.8,548.05,Steel,19,Poor,1
58.13,10.75,19.6,182.58,Steel,27,Average,0
28.3,99.23,10.03,631.4,Steel,37,Poor,1
41.52,71.32,15.46,248.03,PVC,45,Average,1
49.9,44.81,25.48,958.76,Copper,30,Poor,1
41.5,39.64,15.94,320.97,Copper,22,Average,0
27.75,68.41,30.8,723.01,Steel,34,Poor,1
57.05,23.57,19.0,237.21,HDPE,7,Average,0
62.63,26.97,33.8,141.8,PVC,8,Good,0
36.45,27.24,28.41,331.68,PVC,11,Average,0
44.75,6.04,8.02,70.62,Copper,28,Average,0
72.02,36.07,29.34,449.77,Copper,5,Average,0
51.94,99.87,13.61,947.85,Steel,20,Poor,1
51.78,29.89,15.6,119.18,HDPE,3,Average,0
38.82,28.57,22.69,826.95,HDPE,11,Poor,1
